provincia,partido,localidad,linkIndec,otros,"0,256Mbps","0,5Mbps","0,512Mbps","0,75Mbps",1Mbps,"1,5Mbps",2Mbps,"2,2Mbps","2,5Mbps",3Mbps,"3,3Mbps","3,5Mbps",4Mbps,"4,5Mbps",5Mbps,6Mbps,"6,4Mbps",7Mbps,"7,5Mbps",8Mbps,9Mbps,10Mbps,"10,1Mbps","10,2Mbps",11Mbps,12Mbps,"12,3Mbps",13Mbps,14Mbps,15Mbps,16Mbps,17Mbps,18Mbps,20Mbps,"20,5Mbps",21Mbps,22Mbps,23Mbps,24Mbps,25Mbps,"25,1Mbps","25,5Mbps",26Mbps,27Mbps,30Mbps,31Mbps,32Mbps,35Mbps,36Mbps,40Mbps,41Mbps,45Mbps,48Mbps,49Mbps,50Mbps,"50,1Mbps","50,25Mbps",51Mbps,55Mbps,59Mbps,60Mbps,61Mbps,65Mbps,66Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,98Mbps,100Mbps,"100,1Mbps","100,25Mbps",105Mbps,110Mbps,120Mbps,122Mbps,125Mbps,130Mbps,140Mbps,150Mbps,155Mbps,160Mbps,164Mbps,165Mbps,180Mbps,200Mbps,205Mbps,212Mbps,220Mbps,225Mbps,240Mbps,246Mbps,250Mbps,256Mbps,275Mbps,300Mbps,320Mbps,325Mbps,330Mbps,350Mbps,400Mbps,450Mbps,480Mbps,500Mbps,512Mbps,520Mbps,540Mbps,600Mbps,680Mbps,700Mbps,800Mbps,850Mbps,900Mbps,999Mbps,1000Mbps,1024Mbps,4000Mbps,10000Mbps,totalAccesos
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,,,2.0,,19.0,,,,,,85.0,,145.0,,,,76.0,,,,299.0,,288.0,,,,,,,,415.0,,,,1797.0,,,,,,144.0,,,,,1501.0,,,,,27.0,,,,,647.0,,,,,,,,,,,,9.0,,,,,693.0,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,3.0,,,,,,,,,,,,,,,6245.0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010.0,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,,,1.0,,,,,,,,181.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0
BUENOS AIRES,25 de Mayo,Ernestina,6854030.0,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,,,,,,,,106.0,,,3.0,,,56.0,,7.0,3.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,,,,,,,,174.0,,,32.0,,,9.0,,8.0,914.0,,,,,,2.0,,,,,,,,322.0,,,,,,,,,,29.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,,,,,,,,,,,,,,,,,2.0,,,,,,177.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0
BUENOS AIRES,25 de Mayo,San Enrique,6854080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
BUENOS AIRES,25 de Mayo,Valdés,6854090.0,,,,,,,,,,,,,,,,,,,,,,,245.0,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0
BUENOS AIRES,9 de Julio,12 de Octubre,6588030.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,,,,,9.0,,,,,,198.0,,114.0,,,154.0,4824.0,,235.0,,98.0,,2670.0,,,,,,,,1239.0,,,,1144.0,,,,,,,,,,,362.0,,,,,,,,,,640.0,,,,,,,,,,,,,,,,,1817.0,,,,,,,,,,,,,,,,,,,,,,,,,,1175.0,,,,,,,,34.0,,,,,,,,,,,12.0,,,,14725.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010.0,,,,,,,,,,,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,,,,,,8.0,,,,,36.0,,,247.0,,,46.0,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,,,,,,1.0,,193.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0
BUENOS AIRES,9 de Julio,Morea,6588080.0,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0
BUENOS AIRES,9 de Julio,Patricios,6588110.0,,,,,,,,,,,50.0,,,,,,16.0,,,,,,44.0,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,,,,,,,,,,,42.0,,,,,,6.0,,,,,,37.0,,,,,,,,29.0,,,,32.0,,,,,,,,,,,11.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,,,,,,,,,,,763.0,,20.0,,,,,,103.0,,36.0,,,,,,,,,,1231.0,,,,,,,,,,,,,,,1.0,266.0,,,,,,,,,813.0,,,,,,,31.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266.0
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020.0,,,,,,,,,,,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,10.0,,2.0,,,,,,,,,,,,,386.0,,,,,,,6.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,1153.0,,,,,,,,,,,,,22.0,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,,,,,3.0,,,,,,,,147.0,,,,,,,,447.0,,122.0,,,,1.0,,,,1422.0,,,,,,,,,,,,,,,44.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,,,,,,,,,,,,,,632.0,,,,,7.0,,28.0,,45.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.0
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030.0,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040.0,,,,,,,,,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,,,,,2.0,,,1.0,,,,,40.0,,,1.0,,,,,116.0,,,,,,,,,,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.0
BUENOS AIRES,Alberti,Coronel Seguí,6021020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
BUENOS AIRES,Alberti,Mechita,6021030.0,,,,,,,,,,,275.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,,1.0,10.0,1.0,34.0,21.0,,8.0,,,1.0,,63.0,7.0,,6.0,12.0,,,,37.0,,254.0,,,,,,,,135.0,,,,3.0,,,,,,3.0,,,,,11552.0,,,,,,,,,,527.0,,,,,,143.0,,,,,10.0,,,,,,2616.0,,,,,,,,,,1122.0,,,,,,1.0,,,,,,,,,,3823.0,,,,,,,,544.0,,,,,,,,,,,325.0,,,,21259.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,53.0,1.0,9.0,1.0,23.0,15.0,,77.0,,,14.0,,34.0,115.0,,17.0,82.0,,,,30.0,,671.0,,,,,,,,60.0,,,,1.0,,,,,,5.0,,,,,11393.0,,,,,,,,,,397.0,,,,,,698.0,,,,,34.0,,,,,,2028.0,,,,,,,,,,4263.0,,,,,,2.0,,,,,,,,,,6495.0,,,,,,,,1114.0,,,,,,,,,,,1030.0,,,,28662.0
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,1.0,,,,2.0,6.0,,,,,2.0,,3.0,,,4.0,5.0,,,,,,259.0,,,,,,,,,,,,,,,,,,,,,,,4111.0,,,,,,,,,,129.0,,,,,,352.0,,,,,7.0,,,,,,652.0,,,,,,,,,,2165.0,,,,,,,,,,,,,,,,3040.0,,,,,,,,555.0,,,,,,,,,,,568.0,,,,11861.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,,,,,,,,,,,,,,,,3.0,,,,,,,225.0,,,,,,,,42.0,,,,,,,,,,2.0,,,,,5.0,,,,,,,,,,14.0,,,,,,312.0,,,,,9.0,,,,,,45.0,,,,,,,,,,2051.0,,,,,,,,,,,,,,,,2205.0,,,,,,,,390.0,,,,,,,,,,,496.0,,,,5799.0
BUENOS AIRES,Almirante Brown,Glew,6028010.0,1.0,,5.0,,7.0,4.0,,15.0,,,5.0,,27.0,29.0,,9.0,12.0,,,,16.0,,203.0,,,,,,,,8.0,,,,,,,,,,27.0,,,,,11741.0,,,,,,,,,,151.0,,,,,,356.0,,,,,4.0,,,,,,651.0,,,,,,,,,,3557.0,,,,,,,,,,,,,,,,2970.0,,,,,,,,563.0,,,,,,,,,,,741.0,,,,21102.0
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,,,,,,1.0,,,,,,,2.0,,,2.0,1.0,,,,3.0,,260.0,,,,,,,,,,,,,,,,,,2.0,,,,,1384.0,,,,,,,,,,172.0,,,,,,292.0,,,,,12.0,,,,,,1208.0,,,,,,,,,,1723.0,,,,,,,,,,,,,,,,3043.0,,,,,,,,463.0,,,,,,,,,,,423.0,,,,8991.0
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,1.0,,1.0,,3.0,,,,,,3.0,,21.0,,,10.0,1.0,,,,4.0,,356.0,,,,,,,,4.0,,,,,,,,,,3.0,,,,,7431.0,,,,,,,,,,215.0,,,,,,372.0,,,,,12.0,,,,,,1149.0,,,,,,,,,,2650.0,,,,,,,,,,,,,,,,3580.0,,,,,,,,629.0,,,,,,,,,,,525.0,,,,16970.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,1.0,,,,,3.0,,,,,,,,,,5.0,1.0,,,,,,74.0,,,,,,,,,,,,2.0,,,,,,,,,,,6.0,,,,,,,,,,79.0,,,,,,172.0,,,,,4.0,,,,,,398.0,,,,,,,,,,1450.0,,,,,,,,,,,,,,,,2008.0,,,,,,,,366.0,,,,,,,,,,,364.0,,,,4933.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,4095.0,,,,,,,,,,17.0,,,,,,202.0,,,,,4.0,,,,,,120.0,,,,,,,,,,1219.0,,,,,,,,,,,,,,,,1401.0,,,,,,,,304.0,,,,,,,,,,,241.0,,,,7762.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010.0,1.0,,3.0,,10.0,28.0,,,,,97.0,,18.0,339.0,,9.0,52.0,,,,3.0,,408.0,,,,,,,,9.0,,,,,,,,,,,,,,,9967.0,,,,,,,,,,203.0,,,,,,464.0,,,,,14.0,,,,,,1059.0,,,,,,,,,,3072.0,,,,,,,,,,,,,,,,4295.0,,,,,,,,753.0,,,,,,,,,,,666.0,,,,21470.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010.0,1.0,,1.0,,4.0,9.0,,,,,40.0,,21.0,,,1.0,88.0,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,3236.0,,,,,,,,,,33.0,,,,,,178.0,,,,,1.0,,,,,,132.0,,,,,,,,,,1542.0,,,,,,,,,,,,,,,,1795.0,,,,,,,,327.0,,,,,,,,,,,343.0,,,,7821.0
BUENOS AIRES,Almirante Brown,San Jose,6028010.0,,,3.0,,1.0,,,,,,,,2.0,,,5.0,,,,,,,292.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,66.0,,,,,,438.0,,,,,11.0,,,,,,403.0,,,,,,,,,,3114.0,,,,,,,,,,,,,,,,3416.0,,,,,,,,647.0,,,,,,,,,,,622.0,,,,9025.0
BUENOS AIRES,AMBA,Otros,,0.0,,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
BUENOS AIRES,Arrecifes,Arrecifes,6077010.0,159.0,,1.0,,6.0,137.0,,275.0,,,546.0,,165.0,292.0,,,95.0,,,,285.0,,10.0,,,,,,,,451.0,,,,4483.0,,,,,,,,,,,3.0,,,,,,,,,,1821.0,,,,,,,,,,,,,,,,,1301.0,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,,,,,,,,23.0,,,,,,,,,,,6.0,,,,10435.0
