año,trimestre,ingresos(milesDePesos),bandaAnchaFija,dialUp,hasta512Kbps,entre512KbpsY1Mbps,entre1MbpsY6Mbps,entre6MbpsY10Mbps,entre10MbpsY20Mbps,entre20MbpsY30Mbps,másDe30Mbps,otrosAccesosPorVelocidad,accesosPorCada100Hogares,accesosPorCada100Hab,adsl,cablemodem,fibraÓptica,wireless,otrosAccesosPorTecnologia,mbps(mediaDeBajada)
2014,1,2984054.2087800005,6362108,36290,52684,687619,5130294,289182,101127,345,11595,0,49.545821345016996,15.050103872893196,3697066,2407330,150323,70749,72930,3.6171267670209
2014,2,3270816.20391,6428329,36139,41064,656408,5149574,341689,147273,478,12259,0,49.861428437657636,15.163908007906054,3708882,2461670,149363,72405,72148,3.75871218894443
2014,3,3478637.7427996206,6559264,36007,37430,608018,5153437,373372,182483,507,12424,0,50.67236813472314,15.428768804428332,3714764,2569868,155494,85096,70049,3.86726501227843
2014,4,3950440.78037,6559172,39324,44075,554749,5084556,496251,276254,4371,15229,0,50.49978847426527,15.394676968457423,3764038,2536219,149682,76984,71573,4.15688796190556
2015,1,4876385.315070001,6699714,38018,41158,516919,5121423,571620,348102,7643,16347,0,51.36458636223469,15.677234003379093,3756153,2668248,168188,79098,66045,4.35027886167618
2015,2,4701790.719660001,6783279,32909,40723,500175,5138431,645440,432762,10045,18529,0,51.760266081540586,15.8172335655737,3767821,2756294,150839,82077,59157,4.54538147818226
2015,3,5153738.8843600005,6902267,32801,35030,455777,5087802,701187,539414,13101,20677,0,52.45910622153948,16.050289147694723,3788696,2840203,162663,84530,58976,4.78891116867562
2015,4,5376899.206,6952289,32542,34243,427394,5049640,726740,639011,17568,22170,0,52.63088750448939,16.122696946278083,3803024,2898226,139187,85726,58668,4.99044890054109
2016,1,5936844.886499999,6874704,32652,30428,404810,4944358,762999,641646,27664,23380,0,51.84545169695796,15.901801868833909,3792493,2806359,164371,85370,58763,5.08370177629755
2016,2,6534240.597500004,7097604,32475,44008,384221,5058481,796998,785759,73977,29020,0,53.342201152611636,16.371351499331684,3782085,3035272,167788,85452,59482,5.42353097512933
2016,3,6912441.538856647,7178340,28610,20104,294413,4816081,936533,919208,124564,31022,0,53.73418622887769,16.504675674002662,3776442,3124855,169898,81455,54300,5.9387765869846
2016,4,7483980.393279007,7223128,28545,20724,233398,4673339,971094,1038029,169522,38590,0,53.93601866428618,16.564000030973244,3722794,3210602,178070,85119,55088,6.33738413446842
2017,1,8701201.42137,7277314,28540,20653,230159,4584534,975027,1129987,210668,47990,0,54.16211582414749,16.6445653587914,3708898,3276251,180146,84813,55746,6.62407908134137
2017,2,9678646.92829,7401134,28530,22366,222766,4416065,990281,1342000,231604,98635,0,54.901190659837084,16.8829367167329,3723518,3383434,180777,85813,56122,7.15995552367739
2017,3,10065997.86215,7696594,28349,19022,217997,4062226,1062810,1592304,353480,245790,0,56.89922141223151,17.5090322340829,3622575,3670221,193964,106443,131740,8.33904815764714
2017,4,11226127.38858,7842778,27444,15041,221474,3773159,1005545,1730353,631946,337559,155145,57.782350963183326,17.7929770681446,3584311,3818157,211425,155775,100554,12.0076260812107
2018,1,13171459.230893355,8009981,27072,7309,215406,3272724,976956,2068087,862010,397977,236584,58.82,18.12,3574294,3981129,217460,165300,98870,13.221339833489
2018,2,14319467.460713817,8083533,26911,5972,219467,3316868,979416,1905839,1000036,444391,238455,59.1620687879326,18.24,3557216,4038141,226285,194267,94535,13.8495399422441
2018,3,15410980.692582969,8320223,26812,5675,220589,3401277,859413,1607137,1571692,524777,156475,60.69,18.73,3521447,4238171,247366,246181,93870,15.36
2018,4,16637686.589009605,8451841,21814,138740,201196,3337982,882388,1472634,1688748,599579,152388,61.41580723435766,18.97,3329027,4313831,388013,264299,178485,15.95
2019,1,20207413.77085243,8626323,21812,166573,195706,3428759,882836,1464748,1244215,1138728,126570,62.47916610977176,19.307906741229864,3132789,4435439,637099,276419,166389,17.38
2019,2,20743117.694006097,8938427,21754,202790,95980,3444458,871142,1169632,1250366,1677830,247983,64.53,19.96,2990457,4635575,760794,308027,265328,20.33
2019,3,21652748.444642507,9142891,21793,241713,80599,3309137,1026859,806466,1141545,2314898,243467,65.7879845391111,20.360660718556826,2909805,4800091,852221,338241,264326,24.18
2019,4,24169250.699015297,8783053,10128,38272,28980,2792307,1046128,851619,1004083,2830746,201046,62.91991182091471,19.48790008712971,2414575,4883869,941295,340144,213298,28.26
2020,1,29946216.452049132,8802435,9991,42550,56170,2649819,1022014,814470,532309,3500882,194212,62.85636111359369,19.483264768615577,2299457,4903674,1047817,352333,209145,37.52
2020,2,32102475.991463635,9021040,10016,41038,48690,2651502,1053107,807775,523437,3711499,194008,64.21000287666993,19.918402765295003,2295533,5005115,1106725,376667,247016,38.32
2020,3,31997444.530699246,9346183,10016,41038,44005,2637984,1040017,799350,538567,4053461,201777,66.31,20.59,2263889,5259351,1170879,413259,248821,40.67
2020,4,33539702.716311768,9561546,10016,39510,42185,2622638,1073875,786595,582420,4239237,185102,67.62233866155619,21.010191748284452,2213949,5371824,1311199,421554,253036,42.36
2021,1,36676371.36239245,9637956,10016,39487,41674,2593477,1072722,737930,595920,4379965,186797,67.94587638885211,21.127831812160064,2175211,5424782,1362976,434548,250455,43.11
2021,2,38239666.63354247,9852702,10382,40172,42024,2531271,1080279,693277,647401,4661291,167369,69.24018269199719,21.54793892759205,2018587,5641731,1472246,476968,253552,45.63
2021,3,42999944.292822465,10075184,10357,40174,41437,2550229,1095772,710122,536364,4948174,163269,70.57885341443017,21.982550082706407,1950631,5826257,1566048,492415,250190,48.46
2021,4,45467887.16501248,10476933,12861,41262,28521,1413208,1245333,976539,558358,6032322,194251,73.17639652814779,22.810702052174992,1657615,5984240,2072236,523107,252596,52.34
2022,1,55219313.0146503,10611390,12619,34890,104840,1263273,1209148,967508,509830,6336187,198333,73.87880284452622,23.049171038697732,1533240,6073426,2219533,545814,251996,55.11
2022,2,60419500.6232803,10946248,12436,33667,99498,1193090,1197030,856562,485321,6741922,351594,75.96542437191371,23.7204423164287,1468333,5979214,2723285,556243,231609,58.44
2022,3,64086784.3305304,11078691,12437,33013,96727,1161370,1151906,823505,479822,6995750,349035,76.64,23.95,1395277,6031970,2871541,557110,235230,62.46
2022,4,72443482.9891497,11195668,12446,31981,85668,1075272,1109421,765015,335573,7410902,394282,77.21,24.15,1315373,6037457,3060575,572969,221740,106.56
2023,1,104134992.81,11229459,12436,31437,82048,1001553,1060321,729194,357769,7564819,414754,77.2,24.17,1204417,6002582,3243411,576647,214838,110.5
2023,2,118060280.28,11239781,12116,30827,79405,963510,1028250,734125,364730,7775095,275955,77.02,24.14,1006509,5997149,3463988,581823,202428,123.95
2023,3,133106593.41,11395115,11793,30274,80609,945608,998725,720084,350918,8003269,277421,77.84,24.41,897895,6018832,3708718,581436,200027,129.67
2023,4,167376014.8,11535868,11793,29708,71742,900253,978108,697232,350290,8224736,295592,78.56,24.66,836390,6022532,3908183,585760,194796,139.04
2024,1,280419124.08,11621363,11793,28801,69355,866152,950930,672155,353896,8363694,328173,78.89,24.79,774475,5986957,4015101,598682,257941,139.15
